Men's T20I Batting Rankings	34 (0)	Glenn Phillips	NZ	510	544 v Bangladesh, 01/04/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	35 (0)	Max O'Dowd	NED	509	549 v Kenya, 18/10/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	36 (0)	Kushal Bhurtel	NEP	503	536 v Papua New Guinea, 28/03/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	37 (0)	Jonny Bairstow	ENG	502	624 v South Africa, 27/11/2020	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	38 (0)	Dipendra Airee	NEP	498	498 v Papua New Guinea, 04/04/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	39 (0)	David Miller	SA	498	587 v Sri Lanka, 19/03/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	40 (0)	Tony Ura	PNG	495	563 v Namibia, 20/10/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	41 (0)	Navneet Dhaliwal	CAN	493	506 v Philippines, 18/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	42 (0)	Kariyawasa Asalanka	SL	492	541 v India, 24/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	43 (0)	Fakhar Zaman	PAK	490	842 v Australia, 08/07/2018	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	44 (0)	Andrew Balbirnie	IRE	486	523 v Hong Kong, 18/10/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	45 (0)	Kane Williamson	NZ	483	760 v Bangladesh, 03/01/2017	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	46 (0)	Ben Cooper	NED	473	500 v Ireland, 05/10/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	47	Dasun Shanaka	SL	468	468 v India, 27/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	48	Sarfaraz Ali	BRN	467	479 v Philippines, 22/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	49	Litton Das	BAN	461	563 v Zimbabwe, 11/03/2020	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	50	Gerhard Erasmus	NAM	458	499 v Ireland, 22/10/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	51 (0)	Rayyan Pathan	CAN	458	477 v Oman, 19/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	52 (0)	David Warner	AUS	454	826 v West Indies, 11/05/2010	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	53 (0)	Temba Bavuma	SA	453	477 v England, 16/02/2020	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	54 (0)	Rovman Powell	WI	452	452 v India, 20/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	55 (0)	Josh Inglis	AUS	450	450 v Pakistan, 05/04/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	56 (0)	Kyle Coetzer	SCO	449	564 v Netherlands, 16/09/2019	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	57 (0)	Jatinder Singh	OMA	448	524 v Bangladesh, 19/10/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	58 (0)	Zeeshan Maqsood	OMA	445	445 v Nepal, 24/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	59 (0)	Tim Seifert	NZ	441	685 v Pakistan, 22/12/2020	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	60 (0)	Marcus Stoinis	AUS	436	436 v Pakistan, 05/04/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	61 (0)	Rishabh Pant	IND	429	465 v West Indies, 18/02/2022	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
Men's T20I Batting Rankings	62 (0)	Matthew Cross	SCO	426	478 v Zimbabwe, 17/09/2021	https://www.icc-cricket.com/rankings/mens/player-rankings/t20i/batting
